,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
129,Martinique,MTQ,AMRO,REPORTING,2023-06-02,401816.0,150795,107.075,40.184,145536,38.782,,,2.0,92919.0,24.761
130,Mauritania,MRT,AFRO,REPORTING,2023-05-14,4068530.0,2101236,87.50200000000001,45.191,1538089,33.08,,2021-03-26,2.0,383866.0,8.256
131,Mauritius,MUS,AFRO,REPORTING,2023-05-21,2615218.0,1123773,205.636,88.363,1088142,85.561,,2021-01-26,3.0,640398.0,50.355
132,Mexico,MEX,AMRO,REPORTING,2023-06-02,222226293.0,96727823,172.358,75.02199999999999,81346379,63.092,,2020-12-24,8.0,57014052.0,44.22
133,Micronesia (Federated States of),FSM,WPRO,REPORTING,2023-03-28,198749.0,83871,172.791,72.917,80910,70.342,,2021-01-13,4.0,30537.0,26.549
134,Monaco,MCO,EURO,REPORTING,2022-12-04,71027.0,25319,181.0,64.517,24933,63.533,,2021-06-30,7.0,17806.0,45.373000000000005
135,Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144.0,2284018,172.899,69.671,2185282,66.65899999999999,,2021-02-23,6.0,1058839.0,32.299
136,Montenegro,MNE,EURO,REPORTING,2022-12-04,523735.0,272152,83.4,43.763000000000005,251583,40.455999999999996,,2021-02-24,5.0,0.0,0.0
137,Montserrat,MSR,AMRO,REPORTING,2023-06-02,4619.0,2104,92.398,42.088,1952,39.048,,2021-02-08,2.0,563.0,11.262
138,Morocco,MAR,EMRO,REPORTING,2023-05-14,55389602.0,25020168,150.064,67.786,23521989,63.727,,2021-01-28,10.0,6884356.0,18.651
139,Mozambique,MOZ,AFRO,REPORTING,2023-04-23,29457535.0,19939353,94.24799999999999,63.795,19765811,63.24,,2021-03-08,3.0,1260643.0,4.033
140,Myanmar,MMR,SEARO,REPORTING,2022-06-18,64549994.0,34777314,118.637,63.917,27545329,50.626000000000005,,2021-01-27,2.0,2227351.0,4.093999999999999
141,Namibia,NAM,AFRO,REPORTING,2023-05-14,990462.0,616314,38.981,24.256,538776,21.204,,2021-03-19,4.0,298560.0,11.75
142,Nauru,NRU,WPRO,REPORTING,2023-02-20,32157.0,13106,296.816,120.971,11346,104.726,,2021-04-09,2.0,7705.0,71.119
143,Nepal,NPL,SEARO,REPORTING,2023-06-13,62069210.0,27804084,213.02700000000002,95.426,24387074,83.699,,2021-01-27,8.0,9878052.0,33.902
